,pt_no,coordinate
226,pt_no226,"[[-15.75969318855959], [11.20575666321194], [1.439767597874323]]"
227,pt_no227,"[[-76.4179603882021], [48.0067565969149], [-25.40617076310284]]"
228,pt_no228,"[[-66.46113102513702], [48.00675659691489], [-29.97853501264797]]"
229,pt_no229,"[[-67.0022569335645], [48.00675659691489], [-20.41449877952795]]"
230,pt_no230,"[[-70.38842065401134], [31.08016348623753], [-25.40341171491396]]"
231,pt_no231,"[[40.70842727400255], [37.02599448338169], [113.5]]"
232,pt_no232,"[[29.95826101044672], [35.59159189518249], [113.5]]"
233,pt_no233,"[[40.82694995736185], [48.00675659691487], [102.6889505770392]]"
234,pt_no234,"[[34.70738770040224], [30.72328833579612], [96.26603091776758]]"
235,pt_no235,"[[-75.78333719698145], [-41.9932434030851], [-56.47812447701995]]"
236,pt_no236,"[[-48.31081061246439], [12.59008993024795], [-5.000000000000002]]"
237,pt_no237,"[[-48.31081061246439], [19.67342326358129], [-15.0]]"
238,pt_no238,"[[-48.31081061246439], [28.78056612072422], [-5.000000000000007]]"
239,pt_no239,"[[-15.14108972973714], [21.69239894633226], [56.51517726765559]]"
240,pt_no240,"[[-17.42072687663911], [4.107044948187822], [-14.99999999999994]]"
241,pt_no241,"[[-14.7930183620997], [2.485279024692183], [-14.99999999999994]]"
242,pt_no242,"[[-14.7069351408547], [6.271221640444907], [-14.99999999999994]]"
243,pt_no243,"[[-15.42949487260663], [4.393700938850262], [-9.13455124849192]]"
244,pt_no244,"[[-5.359704325573752], [-41.99324340308512], [67.84609508411657]]"
245,pt_no245,"[[6.303149200779004], [-41.99324340308512], [67.14486154514421]]"
246,pt_no246,"[[-0.5211493150888309], [-41.99324340308512], [57.04828300039341]]"
247,pt_no247,"[[5.231630304833236], [-29.70092823834958], [58.34249706805282]]"
248,pt_no248,"[[-53.83025465938087], [-41.99324340308511], [63.01977339989236]]"
249,pt_no249,"[[-40.34046843546516], [-41.99324340308511], [65.18705792157289]]"
250,pt_no250,"[[-42.93507388649144], [-26.32479358195557], [56.8948453351157]]"
251,pt_no251,"[[-55.93259942873753], [-26.7118398070421], [67.83998362838561]]"
252,pt_no252,"[[30.49619563995518], [2.016064632547806], [-53.69068061141682]]"
253,pt_no253,"[[23.00001876964431], [19.5849375395965], [-64.5924370336206]]"
254,pt_no254,"[[37.2521861563913], [15.8117607162347], [-57.20214731205999]]"
255,pt_no255,"[[-88.31081061246428], [35.17875530335773], [46.84375000000003]]"
256,pt_no256,"[[-88.31081061246428], [48.0067565969149], [39.43749999999994]]"
257,pt_no257,"[[-75.32900530478486], [48.0067565969149], [32.19034488711402]]"
258,pt_no258,"[[-33.86037794643208], [0.1336943675524935], [39.31830087423688]]"
259,pt_no259,"[[-28.09037342854124], [6.961631751716681], [44.04999662608232]]"
260,pt_no260,"[[-21.62813135415122], [3.103675680007611], [37.29290937880437]]"
261,pt_no261,"[[-28.83248777891756], [5.06743636499659], [34.0742655493971]]"
262,pt_no262,"[[-22.91635524616143], [17.83299292079924], [33.65215577042381]]"
263,pt_no263,"[[-16.55823093072032], [13.74013561052531], [37.30864234116946]]"
264,pt_no264,"[[-22.73954567613802], [11.78794458020964], [41.41396054645864]]"
265,pt_no265,"[[-14.7069351408547], [9.742291553385312], [25.79999999999999]]"
266,pt_no266,"[[-11.86131352079526], [7.674903552950315], [25.79999999999999]]"
267,pt_no267,"[[-14.70693514085473], [6.271221640444855], [25.79999999999999]]"
268,pt_no268,"[[-13.97756823599994], [10.02076243775345], [19.19011604790728]]"
269,pt_no269,"[[51.68918938753571], [-4.343351108755108], [100.5980453595193]]"
270,pt_no270,"[[51.68918938753571], [-19.19581479090718], [101.3185958690727]]"
271,pt_no271,"[[51.68918938753571], [-11.99324340308513], [113.5]]"
272,pt_no272,"[[3.180835183139099], [48.00675659691488], [-111.7528267041075]]"
273,pt_no273,"[[-4.310810612464323], [48.00675659691488], [-123.5]]"
274,pt_no274,"[[-61.78826232599673], [-19.46155350825028], [-103.1950475411844]]"
275,pt_no275,"[[-65.51802405318347], [-22.05770438612101], [-83.17784567229093]]"
276,pt_no276,"[[-73.3113456231338], [-14.83985222160712], [-93.875184673789]]"
277,pt_no277,"[[23.68918938753574], [48.00675659691488], [-123.5]]"
278,pt_no278,"[[25.45123514720397], [31.49303003024178], [-123.5]]"
279,pt_no279,"[[-8.310810612464302], [-41.9932434030851], [110.5]]"
280,pt_no280,"[[-8.310810612464305], [-26.9932434030851], [110.5]]"
281,pt_no281,"[[-4.883691032594538], [-41.99324340308512], [103.1875056315856]]"
282,pt_no282,"[[-14.1548304659374], [-41.99324340308512], [104.0189033359461]]"
283,pt_no283,"[[-37.51888389684791], [-15.01929936607618], [4.999999999999998]]"
284,pt_no284,"[[-48.31081061246439], [-17.76705292689502], [-5.0]]"
285,pt_no285,"[[-36.89201592415109], [-25.65760625945462], [-14.99999999999994]]"
286,pt_no286,"[[-36.8920159241511], [-25.65760625945458], [4.999999999999998]]"
287,pt_no287,"[[51.68918938753572], [24.90554577585318], [100.8525935910583]]"
288,pt_no288,"[[51.68918938753572], [34.09303919193324], [89.2161040235184]]"
289,pt_no289,"[[51.68918938753572], [17.84765975446354], [87.64200669955886]]"
290,pt_no290,"[[-26.67276282292391], [-22.36850521893668], [-104.5886204900749]]"
291,pt_no291,"[[-43.58289669286788], [-26.68667219516062], [-107.9297273808316]]"
292,pt_no292,"[[-42.98845963715155], [-14.80035637785634], [-96.39944949874655]]"
293,pt_no293,"[[-35.67700811321173], [-10.6375148169462], [-109.5246191626813]]"
294,pt_no294,"[[41.77139672257381], [-41.99324340308513], [-113.6982993450446]]"
295,pt_no295,"[[51.68918938753573], [-30.9737688640566], [-112.5297251503508]]"
296,pt_no296,"[[41.76973142555465], [-31.99017239822142], [-123.5]]"
297,pt_no297,"[[34.02097334694854], [-25.19761838718161], [-107.0641284750101]]"
298,pt_no298,"[[16.57255078664897], [-11.71107720403786], [113.5]]"
299,pt_no299,"[[26.68388992583532], [-18.13057000406508], [113.5]]"
300,pt_no300,"[[15.54115706886139], [-27.60406125012363], [113.5]]"
301,pt_no301,"[[20.04934745974891], [-11.36098882042033], [97.90361370826544]]"
302,pt_no302,"[[-11.30783443244873], [-29.1691364567883], [-123.5]]"
303,pt_no303,"[[-25.09549791540582], [-41.99324340308512], [-115.0416448167248]]"
304,pt_no304,"[[-26.31921191710028], [-30.70699279924077], [-123.5]]"
305,pt_no305,"[[-18.31081061246432], [-41.99324340308512], [-123.5]]"
306,pt_no306,"[[-18.50168025132812], [48.00675659691488], [-48.58861930225428]]"
307,pt_no307,"[[-4.744033539319204], [37.38294078197715], [-36.59999999999997]]"
308,pt_no308,"[[-3.152727503477834], [48.00675659691488], [-49.2549245083578]]"
309,pt_no309,"[[-11.31081061246442], [48.00675659691488], [-36.59999999999996]]"
310,pt_no310,"[[-10.57486854462026], [24.72801657221876], [-14.99999999999993]]"
311,pt_no311,"[[-5.111011396838165], [24.18910197838366], [-4.99999999999997]]"
312,pt_no312,"[[-15.89797380016466], [23.07685339787777], [-4.999999999999974]]"
313,pt_no313,"[[-15.0200495990141], [17.55433079836173], [-8.799929479106275]]"
314,pt_no314,"[[-48.31081061246439], [19.67342326358134], [-15.79999999999997]]"
315,pt_no315,"[[-48.31081061246439], [28.78056612072426], [-25.79999999999997]]"
316,pt_no316,"[[-37.0027359781699], [26.99200096489558], [-15.79999999999992]]"
317,pt_no317,"[[-76.35010152726342], [48.0067565969149], [-102.1115214420688]]"
318,pt_no318,"[[-60.47348153956506], [48.00675659691489], [-99.09742526920793]]"
319,pt_no319,"[[-65.78289068949395], [30.96174521629205], [-90.11813659130459]]"
320,pt_no320,"[[-10.78979802530951], [-41.99324340308512], [78.39490578483331]]"
321,pt_no321,"[[0.5898005254425307], [-41.99324340308512], [77.86259680094344]]"
322,pt_no322,"[[-8.2779703124447], [-27.24378852120143], [75.26897592883486]]"
323,pt_no323,"[[-8.642293110711528], [-41.99324340308512], [47.97856365161945]]"
324,pt_no324,"[[-3.457961809026207], [-41.99324340308512], [36.86022388119436]]"
325,pt_no325,"[[-8.52549155979193], [-26.95349531538264], [42.29819632816832]]"
326,pt_no326,"[[4.174488282704548], [-30.39344566964999], [39.86610937058185]]"
327,pt_no327,"[[-11.3682920110188], [3.640692400358404], [-15.79999999999993]]"
328,pt_no328,"[[-13.49751732377867], [-1.907946215190293], [-15.79999999999994]]"
329,pt_no329,"[[-14.79301836209976], [2.485279024692144], [-15.79999999999993]]"
330,pt_no330,"[[-15.42949487260668], [4.393700938850222], [-22.03146031525703]]"
331,pt_no331,"[[-88.31081061246428], [17.77192873070487], [-46.08044717732821]]"
332,pt_no332,"[[-88.31081061246428], [33.92266522655541], [-43.88526019282868]]"
333,pt_no333,"[[-88.31081061246428], [23.55309500750293], [-34.12543040681429]]"
334,pt_no334,"[[-71.09088244632173], [31.99177447959829], [-42.20775476332442]]"
335,pt_no335,"[[-53.3108106124644], [3.006756596914997], [-36.59999999999995]]"
336,pt_no336,"[[-71.6192178467568], [-3.564039033026987], [-42.97479454830015]]"
337,pt_no337,"[[-50.78926751897136], [-5.794478496374457], [-52.8043459954741]]"
