,pt_no,coordinate
307,pt_no307,"[[-48.31081061246439], [-29.31987813861205], [11.67463556851311]]"
308,pt_no308,"[[-48.31081061246439], [-17.7670529268947], [15.8]]"
309,pt_no309,"[[-48.31081061246439], [-29.18712095410559], [19.37142857142857]]"
310,pt_no310,"[[-36.89201592415108], [-25.65760625945435], [5.799999999999998]]"
311,pt_no311,"[[-37.5816294882404], [-4.395208160319832], [113.5]]"
312,pt_no312,"[[-28.31081061246431], [-11.9932434030851], [110.5]]"
313,pt_no313,"[[-40.98938897521607], [-18.0662857622879], [113.5]]"
314,pt_no314,"[[-44.52685883991168], [-7.082975977628402], [96.2327581388805]]"
315,pt_no315,"[[-73.67650013982687], [-4.056378044439306], [-123.5]]"
316,pt_no316,"[[-62.94435705664227], [7.201888785193006], [-123.5]]"
317,pt_no317,"[[-76.00604716169643], [10.8443056218682], [-123.5]]"
318,pt_no318,"[[-70.54733175069848], [-0.3542424613897626], [-104.994411980724]]"
319,pt_no319,"[[-3.322826672576451], [-25.81153695379426], [4.999999999999994]]"
320,pt_no320,"[[-16.61865654458074], [-24.25268022787809], [4.999999999999996]]"
321,pt_no321,"[[-3.32282667257652], [-25.8115369537942], [-14.99999999999994]]"
322,pt_no322,"[[-10.81081061246439], [-36.99324340308559], [-5.000000000000007]]"
323,pt_no323,"[[37.72225347113347], [48.00675659691487], [-52.02073204735829]]"
324,pt_no324,"[[51.68918938753575], [48.00675659691487], [-60.30000000000001]]"
325,pt_no325,"[[51.68918938753573], [34.27960609153544], [-52.463501411967]]"
326,pt_no326,"[[38.95858849522675], [48.00675659691487], [-66.55004755636082]]"
327,pt_no327,"[[51.68918938753573], [-6.1113884787692], [-75.6041623020424]]"
328,pt_no328,"[[32.81857916899952], [2.176901940327889], [-76.84162939321607]]"
329,pt_no329,"[[3.557907009187943], [16.36735276768109], [53.20582319621494]]"
330,pt_no330,"[[2.302083864044457], [3.519296545228513], [54.08057363293746]]"
331,pt_no331,"[[9.795639202033747], [6.697214129052041], [41.82615123353182]]"
332,pt_no332,"[[-62.57535334775267], [-21.90952638378895], [67.14675259159294]]"
333,pt_no333,"[[-59.51425648293139], [-14.29364488224516], [86.0462869552774]]"
334,pt_no334,"[[-72.5231213436145], [-11.95636837807565], [75.97930837772593]]"
335,pt_no335,"[[-70.59090957805012], [-27.78516732413661], [80.366372575349]]"
