,no,cv_no,region,temp_I,integ_I
178,cv_no178,"[235, 400, 326]",34,0.004,0.8220000000000002
179,cv_no179,"[116, 399, 384]",34,0.001,0.061000000000000026
180,cv_no180,"[288, 356, 286]",34,0.226,3.3949999999999996
181,cv_no181,"[285, 336, 50]",34,0.012,0.19200000000000006
182,cv_no182,"[48, 303, 280]",34,0.003,0.10200000000000004
183,cv_no183,"[158, 346, 310]",34,0.232,8.577999999999998
184,cv_no184,"[357, 370, 151]",34,0.024,4.440999999999999
185,cv_no185,"[160, 391, 317]",34,0.461,11.504000000000001
186,cv_no186,"[329, 357, 150]",34,0.16,5.4799999999999995
187,cv_no187,"[50, 336, 277]",34,0.036,0.582
188,cv_no188,"[224, 387, 311]",34,0.146,3.064
189,cv_no189,"[291, 319, 246]",34,0.729,11.748
190,cv_no190,"[333, 344, 263]",34,0.59,10.179
191,cv_no191,"[145, 344, 333]",34,0.744,12.431000000000001
192,cv_no192,"[167, 369, 308]",34,0.932,18.480999999999998
193,cv_no193,"[265, 392, 289]",34,0.007,0.24800000000000005
194,cv_no194,"[258, 274, 34]",34,0.007,0.4770000000000001
195,cv_no195,"[286, 351, 285]",34,0.222,3.4179999999999997
196,cv_no196,"[358, 370, 264]",34,0.091,5.257
197,cv_no197,"[267, 359, 354]",34,0.168,2.837
198,cv_no198,"[273, 383, 314]",34,0.23,4.852000000000001
199,cv_no199,"[311, 402, 222]",34,0.024,1.2
200,cv_no200,"[304, 365, 270]",34,0.203,3.9789999999999996
201,cv_no201,"[234, 401, 373]",34,0.362,5.808
202,cv_no202,"[255, 273, 33]",34,0.074,1.5330000000000001
203,cv_no203,"[281, 350, 282]",34,0.056,3.373
204,cv_no204,"[271, 303, 48]",34,0.014,0.32200000000000006
205,cv_no205,"[233, 401, 259]",34,0.303,4.854
206,cv_no206,"[254, 312, 32]",34,0.148,2.477
207,cv_no207,"[247, 389, 228]",34,0.047,3.8240000000000003
208,cv_no208,"[278, 304, 49]",34,0.005,0.12000000000000005
209,cv_no209,"[318, 363, 249]",34,0.001,0.36400000000000005
