,0
2485,3208
2486,2310
2487,3942
2488,2539
2489,4103
2490,4019
2491,610
2492,3626
2493,4971
2494,854
2495,4528
2496,4067
2497,4549
2498,2213
2499,3941
2500,2059
2501,4328
2502,3992
2503,2540
2504,3093
2505,652
2506,3852
2507,4421
2508,866
2509,3225
2510,2654
2511,3323
2512,3903
2513,510
2514,2989
2515,2012
2516,832
2517,4468
2518,2376
2519,1138
2520,2375
2521,2313
2522,1137
2523,593
2524,3070
2525,3651
2526,653
2527,300
2528,676
2529,3031
2530,677
2531,2705
2532,2018
2533,2017
2534,2349
2535,3880
2536,3830
2537,4299
2538,3797
2539,3881
2540,2762
2541,3099
2542,830
2543,4271
2544,2760
2545,2350
2546,942
