,pt_no,coordinate
287,pt_no287,"[[1.0], [0.08333333333333334], [0.08333333333333334]]"
288,pt_no288,"[[1.0], [0.0], [0.08333333333333334]]"
289,pt_no289,"[[1.0], [0.08333333333333334], [0.0]]"
290,pt_no290,"[[1.0], [0.0], [0.0]]"
291,pt_no291,"[[0.5000000000000001], [0.4166666666666669], [0.0]]"
292,pt_no292,"[[0.5000000000000001], [0.5], [0.0]]"
293,pt_no293,"[[0.6000000000000002], [0.5], [0.0]]"
294,pt_no294,"[[0.6000000000000003], [0.4166666666666669], [0.0]]"
295,pt_no295,"[[0.7000000000000002], [0.4166666666666669], [0.0]]"
296,pt_no296,"[[0.8000000000000003], [0.4166666666666669], [0.0]]"
297,pt_no297,"[[0.9000000000000004], [0.4166666666666669], [0.0]]"
298,pt_no298,"[[1.0], [0.4166666666666669], [0.0]]"
299,pt_no299,"[[0.0], [0.5], [0.0]]"
300,pt_no300,"[[0.1], [0.5], [0.0]]"
301,pt_no301,"[[0.2], [0.5], [0.0]]"
302,pt_no302,"[[0.3000000000000001], [0.5], [0.0]]"
303,pt_no303,"[[0.4000000000000001], [0.5], [0.0]]"
304,pt_no304,"[[0.9000000000000004], [0.5], [0.5]]"
305,pt_no305,"[[0.9000000000000004], [0.4166666666666669], [0.5]]"
306,pt_no306,"[[0.9000000000000004], [0.5], [0.4166666666666669]]"
307,pt_no307,"[[0.9000000000000004], [0.4166666666666666], [0.4166666666666667]]"
308,pt_no308,"[[1.0], [0.5], [0.5]]"
309,pt_no309,"[[1.0], [0.4166666666666669], [0.5]]"
310,pt_no310,"[[1.0], [0.5], [0.4166666666666669]]"
311,pt_no311,"[[1.0], [0.4166666666666669], [0.4166666666666669]]"
312,pt_no312,"[[0.7000000000000002], [0.5], [0.0]]"
313,pt_no313,"[[0.8000000000000003], [0.5], [0.0]]"
314,pt_no314,"[[0.9000000000000004], [0.5], [0.0]]"
315,pt_no315,"[[1.0], [0.5], [0.0]]"
316,pt_no316,"[[0.3000000000000001], [0.08333333333333334], [0.5]]"
317,pt_no317,"[[0.3000000000000001], [0.0], [0.5]]"
318,pt_no318,"[[0.3000000000000001], [0.08333333333333337], [0.4166666666666668]]"
319,pt_no319,"[[0.3], [0.0], [0.4166666666666668]]"
320,pt_no320,"[[0.4000000000000001], [0.08333333333333334], [0.5]]"
321,pt_no321,"[[0.4000000000000001], [0.0], [0.5]]"
322,pt_no322,"[[0.4], [0.08333333333333333], [0.4166666666666671]]"
323,pt_no323,"[[0.4000000000000001], [0.0], [0.4166666666666669]]"
324,pt_no324,"[[0.2], [0.5], [0.4166666666666669]]"
325,pt_no325,"[[0.2], [0.4166666666666671], [0.4166666666666671]]"
326,pt_no326,"[[0.2], [0.5], [0.3333333333333334]]"
327,pt_no327,"[[0.2], [0.416666666666667], [0.3333333333333333]]"
328,pt_no328,"[[0.3], [0.5], [0.4166666666666668]]"
329,pt_no329,"[[0.3000000000000002], [0.4166666666666671], [0.4166666666666667]]"
330,pt_no330,"[[0.3000000000000001], [0.5], [0.3333333333333335]]"
331,pt_no331,"[[0.3000000000000002], [0.4166666666666666], [0.3333333333333334]]"
332,pt_no332,"[[0.4000000000000001], [0.5], [0.4166666666666669]]"
333,pt_no333,"[[0.4000000000000001], [0.4166666666666667], [0.4166666666666667]]"
334,pt_no334,"[[0.4000000000000001], [0.5], [0.3333333333333334]]"
335,pt_no335,"[[0.4000000000000001], [0.4166666666666667], [0.3333333333333335]]"
336,pt_no336,"[[0.5000000000000001], [0.5], [0.4166666666666669]]"
337,pt_no337,"[[0.5000000000000003], [0.4166666666666667], [0.4166666666666667]]"
338,pt_no338,"[[0.5000000000000001], [0.5], [0.3333333333333334]]"
339,pt_no339,"[[0.5000000000000002], [0.4166666666666667], [0.3333333333333333]]"
340,pt_no340,"[[0.6000000000000001], [0.5], [0.4166666666666669]]"
341,pt_no341,"[[0.6000000000000003], [0.416666666666667], [0.416666666666667]]"
342,pt_no342,"[[0.6000000000000002], [0.5], [0.3333333333333334]]"
343,pt_no343,"[[0.6000000000000003], [0.416666666666667], [0.3333333333333333]]"
344,pt_no344,"[[0.7000000000000002], [0.5], [0.4166666666666669]]"
345,pt_no345,"[[0.7000000000000002], [0.4166666666666667], [0.4166666666666667]]"
346,pt_no346,"[[0.7000000000000002], [0.5], [0.3333333333333334]]"
347,pt_no347,"[[0.7000000000000002], [0.4166666666666667], [0.3333333333333334]]"
348,pt_no348,"[[0.8000000000000003], [0.5], [0.4166666666666669]]"
349,pt_no349,"[[0.8000000000000003], [0.4166666666666667], [0.4166666666666667]]"
350,pt_no350,"[[0.8000000000000003], [0.5], [0.3333333333333334]]"
351,pt_no351,"[[0.8000000000000003], [0.4166666666666667], [0.3333333333333333]]"
352,pt_no352,"[[0.9000000000000004], [0.5], [0.3333333333333334]]"
353,pt_no353,"[[0.9000000000000004], [0.4166666666666667], [0.3333333333333333]]"
354,pt_no354,"[[1.0], [0.5], [0.3333333333333334]]"
355,pt_no355,"[[1.0], [0.4166666666666669], [0.3333333333333334]]"
356,pt_no356,"[[0.0], [0.08333333333333334], [0.5]]"
357,pt_no357,"[[0.0], [0.0], [0.5]]"
358,pt_no358,"[[0.0], [0.08333333333333334], [0.4166666666666669]]"
359,pt_no359,"[[0.0], [0.0], [0.4166666666666669]]"
360,pt_no360,"[[0.1], [0.08333333333333334], [0.5]]"
361,pt_no361,"[[0.1], [0.0], [0.5]]"
362,pt_no362,"[[0.1], [0.08333333333333337], [0.4166666666666671]]"
363,pt_no363,"[[0.1], [0.0], [0.4166666666666669]]"
